phylum,class,order,familly,genus,species
Arthropoda,Malacostraca,Mysida,Mysidae,Erythrops,Erythrops serrata
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone flava
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,Eteone longa
Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,Eualus pusiolus
Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Eubranchus,Eubranchus exiguus
Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Eubranchus,Eubranchus farrani
Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Eubranchus,Eubranchus pallidus
Cnidaria,Hydrozoa,Anthoathecata,Eudendriidae,Eudendrium,Eudendrium glomeratum
Cnidaria,Hydrozoa,Anthoathecata,Eudendriidae,Eudendrium,Eudendrium racemosum
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia bilineata
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,Eulalia viridis
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,Eumida sanguinea
Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,Eunereis longissima
Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,Eunice roussaei
Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,Eunicella cavolini
Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,Eunicella singularis
Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,Eunicella verrucosa
Annelida,Polychaeta,Terebellida,Terebellidae,Eupolymnia,Eupolymnia nebulosa
Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,Eurydice pulchra
Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes gryllus
Arthropoda,Malacostraca,Decapoda,Sergestidae,Eusergestes,Eusergestes arcticus
Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,Euspira catena
Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,Euspira nitida
Annelida,Polychaeta,Sabellida,Fabriciidae,Fabricia,Fabricia stellaris
Mollusca,Bivalvia,Venerida,Tellinidae,Fabulina,Fabulina fabula
Annelida,Polychaeta,Sabellida,Serpulidae,Ficopomatus,Ficopomatus enigmaticus
Annelida,Polychaeta,Sabellida,Serpulidae,Filograna,Filograna implexa
Mollusca,Bivalvia,Pectinida,Pectinidae,Flexopecten,Flexopecten glaber
Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae,Flustra,Flustra foliacea
Cnidaria,Anthozoa,Pennatulacea,Funiculinidae,Funiculina,Funiculina quadrangularis
Annelida,Polychaeta,Sabellida,Oweniidae,Galathowenia,Galathowenia fragilis
Annelida,Polychaeta,Sabellida,Oweniidae,Galathowenia,Galathowenia oculata
Arthropoda,Malacostraca,Amphipoda,Photidae,Gammaropsis,Gammaropsis maculata
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus aequicauda
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus duebeni
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus insensibilis
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus locusta
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus oceanicus
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus salinus
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus setosus
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus wilkitzkii
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus zaddachi
Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,Gari fervensis
Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,Gastrosaccus sanctus
Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,Gastrosaccus spinifer
Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,Gattyana cirrhosa
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia atlantica
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia cydonium
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia hentscheli
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii
Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei
Arthropoda,Malacostraca,Decapoda,Geryonidae,Geryon,Geryon trispinosus
Arthropoda,Malacostraca,Decapoda,Callianassidae,Gilvossius,Gilvossius tyrrhenus
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera alba
Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera tridactyla
